# darshan log version: 3.41
# compression method: ZLIB
# exe: /mnt/IOLustre/io500/io500 Trace_Dataset/ior-easy/ior-easy_api_MPIIO_blockSize_1073741824_transferSize_1M_filePerProc_False_uniqueDir_True_.ini --timestamp 2024.01.10-22.44.02
# uid: 0
# jobid: 1134454
# start_time: 1704944643
# start_time_asci: Wed Jan 10 22:44:03 2024
# end_time: 1704944657
# end_time_asci: Wed Jan 10 22:44:17 2024
# nprocs: 1
# run time: 14.1591
# metadata: lib_ver = 3.4.2
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 359 bytes (compressed)
# record table: 201 bytes (compressed)
# POSIX module: 193 bytes (compressed), ver=4
# MPI-IO module: 0 bytes (compressed), ver=3
# LUSTRE module: 0 bytes (compressed), ver=1
# STDIO module: 0 bytes (compressed), ver=2
# DXT_POSIX module: 18841 bytes (compressed), ver=1
# HEATMAP module: 0 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/mnt/IOLustre	lustre
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/boot/efi	vfat
# mount entry:	/client	ext4
# mount entry:	/home	ext4
# mount entry:	/boot	ext4
# mount entry:	/dev	devtmpfs
# mount entry:	/var	ext4
# mount entry:	/	ext4

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 1622462779593719803, file_name: /mnt/IOLustre/io500/datafiles/2024.01.10-22.44.02/ior-easy/ior_file_easy
# DXT, rank: 0, hostname: lab3
# DXT, write_count: 1024, read_count: 1024, open_count: 0, stat_count: 0
# DXT, mnt_pt: /mnt/IOLustre, fs_type: lustre
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write      130       136314880         1048576      1.0088      1.0218
 X_POSIX       0  write      131       137363456         1048576      1.0218      1.0318
 X_POSIX       0  write      132       138412032         1048576      1.0318      1.0428
 X_POSIX       0  write      133       139460608         1048576      1.0428      1.0548
 X_POSIX       0  write      134       140509184         1048576      1.0548      1.0678
 X_POSIX       0  write      135       141557760         1048576      1.0678      1.0778
 X_POSIX       0  write      136       142606336         1048576      1.0778      1.0898
 X_POSIX       0  write      137       143654912         1048576      1.0898      1.1018
 X_POSIX       0  write      138       144703488         1048576      1.1018      1.1148
 X_POSIX       0  write      139       145752064         1048576      1.1148      1.1288
 X_POSIX       0  write      140       146800640         1048576      1.1288      1.1398
 X_POSIX       0  write      141       147849216         1048576      1.1398      1.1518
 X_POSIX       0  write      142       148897792         1048576      1.1518      1.1648
 X_POSIX       0  write      143       149946368         1048576      1.1648      1.1788
 X_POSIX       0  write      144       150994944         1048576      1.1788      1.1897
 X_POSIX       0  write      145       152043520         1048576      1.1897      1.2018
 X_POSIX       0  write      146       153092096         1048576      1.2018      1.2159
 X_POSIX       0  write      147       154140672         1048576      1.2159      1.2287
 X_POSIX       0  write      148       155189248         1048576      1.2288      1.2400
 X_POSIX       0  write      149       156237824         1048576      1.2400      1.2518
 X_POSIX       0  write      150       157286400         1048576      1.2518      1.2648
 X_POSIX       0  write      151       158334976         1048576      1.2648      1.2788
 X_POSIX       0  write      152       159383552         1048576      1.2788      1.2898
 X_POSIX       0  write      153       160432128         1048576      1.2898      1.3018
 X_POSIX       0  write      154       161480704         1048576      1.3018      1.3148
 X_POSIX       0  write      155       162529280         1048576      1.3148      1.3288
 X_POSIX       0  write      156       163577856         1048576      1.3288      1.3404
 X_POSIX       0  write      157       164626432         1048576      1.3404      1.3517
 X_POSIX       0  write      158       165675008         1048576      1.3517      1.3648
 X_POSIX       0  write      159       166723584         1048576      1.3648      1.3788
 X_POSIX       0  write      160       167772160         1048576      1.3788      1.3898
 X_POSIX       0  write      161       168820736         1048576      1.3898      1.4018
 X_POSIX       0  write      162       169869312         1048576      1.4018      1.4147
 X_POSIX       0  write      163       170917888         1048576      1.4148      1.4278
 X_POSIX       0  write      164       171966464         1048576      1.4278      1.4418
 X_POSIX       0  write      165       173015040         1048576      1.4418      1.4538
 X_POSIX       0  write      166       174063616         1048576      1.4538      1.4668
 X_POSIX       0  write      167       175112192         1048576      1.4668      1.4800
 X_POSIX       0  write      168       176160768         1048576      1.4800      1.4908
 X_POSIX       0  write      169       177209344         1048576      1.4908      1.5028
 X_POSIX       0  write      170       178257920         1048576      1.5028      1.5158
 X_POSIX       0  write      171       179306496         1048576      1.5158      1.5290
 X_POSIX       0  write      172       180355072         1048576      1.5290      1.5398
 X_POSIX       0  write      173       181403648         1048576      1.5398      1.5518
 X_POSIX       0  write      174       182452224         1048576      1.5518      1.5648
 X_POSIX       0  write      175       183500800         1048576      1.5648      1.5788
 X_POSIX       0  write      176       184549376         1048576      1.5788      1.5928
 X_POSIX       0  write      177       185597952         1048576      1.5928      1.6048
 X_POSIX       0  write      178       186646528         1048576      1.6048      1.6178
 X_POSIX       0  write      179       187695104         1048576      1.6178      1.6308
 X_POSIX       0  write      180       188743680         1048576      1.6308      1.6447
 X_POSIX       0  write      181       189792256         1048576      1.6447      1.6568
 X_POSIX       0  write      182       190840832         1048576      1.6568      1.6698
 X_POSIX       0  write      183       191889408         1048576      1.6698      1.6828
 X_POSIX       0  write      184       192937984         1048576      1.6828      1.6968
 X_POSIX       0  write      185       193986560         1048576      1.6968      1.7088
 X_POSIX       0  write      186       195035136         1048576      1.7088      1.7218
 X_POSIX       0  write      187       196083712         1048576      1.7218      1.7351
 X_POSIX       0  write      188       197132288         1048576      1.7351      1.7458
 X_POSIX       0  write      189       198180864         1048576      1.7458      1.7578
 X_POSIX       0  write      190       199229440         1048576      1.7578      1.7708
 X_POSIX       0  write      191       200278016         1048576      1.7708      1.7838
 X_POSIX       0  write      192       201326592         1048576      1.7838      1.7978
 X_POSIX       0  write      193       202375168         1048576      1.7978      1.8118
 X_POSIX       0  write      194       203423744         1048576      1.8118      1.8258
 X_POSIX       0  write      195       204472320         1048576      1.8258      1.8388
 X_POSIX       0  write      196       205520896         1048576      1.8388      1.8530
 X_POSIX       0  write      197       206569472         1048576      1.8530      1.8648
 X_POSIX       0  write      198       207618048         1048576      1.8648      1.8778
 X_POSIX       0  write      199       208666624         1048576      1.8778      1.8909
 X_POSIX       0  write      200       209715200         1048576      1.8909      1.9017
 X_POSIX       0  write      201       210763776         1048576      1.9018      1.9138
 X_POSIX       0  write      202       211812352         1048576      1.9138      1.9268
 X_POSIX       0  write      203       212860928         1048576      1.9268      1.9398
 X_POSIX       0  write      204       213909504         1048576      1.9398      1.9508
 X_POSIX       0  write      205       214958080         1048576      1.9508      1.9628
 X_POSIX       0  write      206       216006656         1048576      1.9628      1.9757
 X_POSIX       0  write      207       217055232         1048576      1.9757      1.9887
